id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,valeur_fonciere,latitude,longitude,nombre_lots,Prix_m2,Year,Month,prix_m2_moy_surf_habit,prix_m2_moy_terrain
2021-140673,2021-02-05,2.0,13204,0.0,82.0,4.0,252000.0,43.310619,5.397127,1,3073.170731707317,2021,2,2721.7173060895752,12027.867705044877
2021-140674,2021-02-04,2.0,13204,0.0,43.0,2.0,105000.0,43.310745,5.401515,2,2441.860465116279,2021,2,2721.7173060895752,12027.867705044877
2021-140680,2021-02-05,2.0,13204,0.0,60.0,3.0,140000.0,43.306483,5.395672,1,2333.3333333333335,2021,2,2721.7173060895752,12027.867705044877
2021-140681,2021-02-02,2.0,13204,0.0,67.0,3.0,194000.0,43.304105,5.402404,1,2895.5223880597014,2021,2,2721.7173060895752,12027.867705044877
2021-140690,2021-01-29,2.0,13204,0.0,35.0,1.0,78000.0,43.310134,5.404604,1,2228.5714285714284,2021,1,2721.7173060895752,12027.867705044877
2021-140691,2021-02-05,2.0,13204,0.0,74.0,3.0,252000.0,43.299165,5.391586,1,3405.4054054054054,2021,2,2721.7173060895752,12027.867705044877
2021-140693,2021-02-17,2.0,13204,0.0,54.0,3.0,85000.0,43.311344,5.395065,2,1574.0740740740741,2021,2,2721.7173060895752,12027.867705044877
2021-140696,2021-02-01,2.0,13204,0.0,55.0,3.0,149800.0,43.297071,5.408193,2,2723.6363636363635,2021,2,2721.7173060895752,12027.867705044877
2021-140699,2021-02-22,2.0,13204,0.0,40.0,2.0,99000.0,43.30811,5.40587,2,2475.0,2021,2,2721.7173060895752,12027.867705044877
2021-140722,2021-02-15,2.0,13204,0.0,65.0,4.0,145000.0,43.313164,5.396221,2,2230.769230769231,2021,2,2721.7173060895752,12027.867705044877
2021-140726,2021-02-17,2.0,13204,0.0,75.0,4.0,112000.0,43.310745,5.401515,2,1493.3333333333333,2021,2,2721.7173060895752,12027.867705044877
2021-140729,2021-02-02,2.0,13204,0.0,30.0,1.0,116000.0,43.312926,5.400321,1,3866.6666666666665,2021,2,2721.7173060895752,12027.867705044877
2021-140731,2021-02-17,2.0,13204,0.0,65.0,3.0,125500.0,43.306167,5.408448,1,1930.7692307692307,2021,2,2721.7173060895752,12027.867705044877
2021-140734,2021-02-03,2.0,13204,0.0,52.0,2.0,120000.0,43.308696,5.400687,2,2307.6923076923076,2021,2,2721.7173060895752,12027.867705044877
